**************************************************************************************************************************
 POS Exterior Orientation Computation Utility         Version  4.2
 Copyright (C) 1997-2004 by Applanix Corporation      [May 27, 2004]  
 All rights reserved.                                        
**************************************************************************************************************************
 
 Parameter setup:
 POSPROC SBET file: O:\MEERS_2005\Missions\Southern\20050629_SN056_Boresight\000001_18055108\Proc\sbet_050629.out 
 Camera mid-exposure event file: O:\MEERS_2005\Missions\Southern\050629_SN056_Boresight\000001_18055108\Extract\event1_050629.dat 
   Event time shift: -0.002400 sec 
 Photo ID file: O:\MEERS_2005\Missions\Southern\050629_SN056_Boresight\000001_18055108\EO\PhotoID_Boresight.txt 
   Photo ID file format: 2 Fields (Time, Photo ID) Format 
   Offset between PHOTO ID and EVENT file times: 0.000000 sec 
   Scale the Height Output selected. Average ground height 457.310000 
 Mapping frame datum: WGS84  ; Mapping frame projection : TM;
 central meridian = -117.000000 deg;
 latitude of the grid origin = 0.000000 deg; grid scale factor = 0.999600: 
 false easting = 500000.000000 m; false northing = 0.000000 m; 
 Sequence of the rotation from mapping to image frame: 
    First rotation is about the 'x' axis by the 'omega' angle. 
    Second rotation is about the 'y' axis by the 'phi' angle. 
    Third rotation is about the 'z' axis by the 'kappa' angle. 
 Kappa cardinal rotation:  -90.000 deg. 
 Boresight values: tx =       -0.1800 arc min, ty =      -16.9600 arc min, tz =       -2.5700 arc min. 
 Lever arm values: lx =        0.0000 m, ly =        0.0000 m, lz =        0.0000 m. 
Shift values: X = 0.000000 meter, Y = 0.000000 meter, Z = 0.000000 meter 


 POS/AV Computed Data at Camera Perspective Centre

 Output: ECEF Coordinates, Datum: WGS84 

 Record Format:

 ID, # EVENT, TIME (s), X, Y, Z, ROLL, PITCH, HEADING, LAT, LONG

 (position in m, orientation in deg, lat, long in deg) 


18056119	    4  322390.088043 -2411870.743 -4730740.965 3524595.274   -0.20272    0.22249  359.58758 33.75190546 -117.01382319
18056124	    5  322395.433462 -2411780.675 -4730567.821 3524884.801    0.36114   -0.33903    0.41088 33.75505249 -117.01380594
18056130	    6  322401.058549 -2411683.534 -4730385.884 3525192.258   -0.91892    0.53626    0.43611 33.75838919 -117.01376380
18056135	    7  322406.611109 -2411594.868 -4730208.351 3525498.228   -1.25521    0.73721  359.36548 33.76167582 -117.01378154
18056141	    8  322412.232276 -2411505.427 -4730030.949 3525806.229   -0.62511    0.31736    1.06982 33.76497884 -117.01379119
18056147	    9  322417.928311 -2411403.702 -4729853.396 3526115.158   -3.12093   -0.07003    1.03410 33.76831743 -117.01368347
18056152	   10  322423.627908 -2411307.854 -4729672.478 3526425.970   -1.28216    0.51187    0.21676 33.77167176 -117.01364874
18056158	   11  322429.178149 -2411218.220 -4729494.126 3526728.107   -1.87747    0.01180  359.66398 33.77493550 -117.01366119
18056163	   12  322434.783484 -2411123.974 -4729310.774 3527031.632   -0.63054   -0.54345    0.52660 33.77824246 -117.01365381
18056169	   13  322440.290273 -2411027.212 -4729131.839 3527332.669   -2.20412   -0.16390    0.36960 33.78151679 -117.01360056
18056174	   14  322445.785261 -2410937.588 -4728950.025 3527635.125   -1.85572   -0.05465  359.38287 33.78479835 -117.01363008
18056333	   15  322604.617705 -2410345.617 -4729227.623 3527635.126   -0.29360    1.87666  180.77925 33.78490623 -117.00657642
18056338	   16  322609.833620 -2410449.029 -4729415.642 3527337.193    2.42111    1.26027  180.41852 33.78159945 -117.00664935
18056344	   17  322615.139961 -2410548.991 -4729597.461 3527031.371    0.11879   -0.13179  179.63464 33.77826913 -117.00671950
